('P0', 'id');('P1_a ', 'Idade');('P1_b ', 'Genero');('P1_e ', 'experiencia_profissional_prejudicada');EXPERIÊNCIA PREJUDICADA SIM OU NAO;('P2_d ', 'Gestor?');('P2_f ', 'Cargo Atual');AGRUPAMENTO CARGOS;('P2_h ', 'Faixa salarial');MÉDIA FAIXA SALARIAL;('P2_g ', 'Nivel');NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?');PRETENDE SAIR SIM OU NAO - TARGET;('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P2_s ', 'Qual a forma de trabalho ideal para você?');ESTOU NO TRABALHO IDEAL?
05edmndszxd75nu8o05edmnbiuloulj9;25;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Júnior;0;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
05na8bynsxjppjlrgsfb405na83mpw9f;36;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 1.001/mês a R$ 2.000/mês;1500;Júnior;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
06bekvb2fzxi6n0czi06bekvydrj06mi;36;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;1;;Não informado;de R$ 12.001/mês a R$ 16.000/mês;14000;;0;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
06ytc58mw53h90izzo306ytcpdc16w70;46;Masculino;;0;0;Professor/Pesquisador;Acadêmico;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
06zhqgd6dr4xjy06zhqg21con02zwy42;33;Feminino;Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero;1;0;Analytics Engineer;Engenharia de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido com dias fixos de trabalho presencial;1
076sddptnza0htgkwxmr1jr076sddptb;30;Masculino;;0;0;Economista;Científico/Quantitativo;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
07ei3nr4jibmbslmgzup07ei3n8u13ka;32;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Desenvolvimento;de R$ 12.001/mês a R$ 16.000/mês;14000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
07podb88144utvmy9lk0x07podb8k8nl;38;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo 100% remoto;0
07vxvpqgtstbdqapyq07vo5p9yky8rqh;36;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;1;;Não informado;de R$ 25.001/mês a R$ 30.000/mês;27500;;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);1
083f331tparwm4083fxbusb0cps0rmwa;53;Masculino;;0;0;Professor/Pesquisador;Acadêmico;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;0;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
08f7gp5stfs0txz08fn357e56e1co6sj;23;Masculino;Não acredito que minha experiência profissional seja afetada devido a esses fatores;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 3.001/mês a R$ 4.000/mês;3500;Pleno;1;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
091jp2ibksf49d1cgtz0091jp2bpsxzx;31;Masculino;;0;0;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Engenharia de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Sênior;2;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% presencial;Modelo 100% remoto;0
09esdc97ebk0609es03a7nf83pw1owqg;33;Feminino;;0;0;Analista de Negócios/Business Analyst;Negócios;de R$ 4.001/mês a R$ 6.000/mês;5000;Sênior;2;0;Estou em busca de oportunidades dentro ou fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0aadbbqu8p2hf3a0aadbshkx5p9ty80m;36;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 8.001/mês a R$ 12.000/mês;10000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0an4fvp64oeblyt70k00an4fvtn9vcle;29;Masculino;;0;0;Cientista de Dados/Data Scientist;Análise de Dados;de R$ 16.001/mês a R$ 20.000/mês;18000;Sênior;2;0;Estou em busca de oportunidades, mas apenas fora do Brasil;1;Modelo 100% remoto;Modelo 100% remoto;1
0autzixgz8xh4s7nwdw70autzmjayn79;38;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 4.001/mês a R$ 6.000/mês;5000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo híbrido com dias fixos de trabalho presencial;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);0
0ayla3c460hpsv520ayla3i1xyyhg350;23;Masculino;;0;0;Analista de Dados/Data Analyst;Análise de Dados;de R$ 6.001/mês a R$ 8.000/mês;7000;Pleno;1;1;Não estou buscando, mas me considero aberto a outras oportunidades;1;Modelo 100% remoto;Modelo 100% remoto;1
