"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
aaibjjfnspzuxaaisc00ub1hvr5wqrgs,Masculino,0.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
aanmhevgx70nulaigodaanmdq6ludbmw,Masculino,,Amapá (AP),
aawkrskhpf0uj4wh7qeaawkpx1t9l7yg,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
ab64v3rdq3f84zdsbjab66uxu6is7wg6,Masculino,,Minas Gerais (MG),
ab7f1lfbc8jbh7goslab7f1iyn4ssr2u,Masculino,,Distrito Federal (DF),
abgvp6eijfb3kw59rbabcxniraf6wqsc,Masculino,,São Paulo (SP),
abpgl109b9zn7icu4fabpglp7d51vkri,Masculino,0.0,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
ac256ptlhe1s5rzizuac256p1z050juw,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
ac383widpv8edrrp2p15ac383wid1rcf,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
acf5xxcr86v1ylwxuacf5xxdeinggfl6,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
acgscm50gnbgss6acgscmfjp8ly4dukb,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
aco8g3xrujouyn8e1aco8gdqlwclgzww,Masculino,,São Paulo (SP),
acwubrcuazfivt3dp99bacwubre5e66p,Feminino,1.0,São Paulo (SP),Outra Opção
acxana7vmp0ap1bbegl98acxana7mz6i,Masculino,,Mato Grosso (MT),Cientista de Dados/Data Scientist
ad0gvmlgpq5gtdz0pad0gvoa7u4amroq,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
adudbr74panqm75yadudbriaucqwz56j,Masculino,,Paraíba (PB),Analista de Dados/Data Analyst
aehmohav4dd0xbwaehm6y3os3h09zhm6,Feminino,0.0,Paraná (PR),Analista de Negócios/Business Analyst
afdthi8fqm129s33lh2mafdthide6yby,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
affjypvy9he0je48vfj5mj7affjypb9p,Masculino,,Santa Catarina (SC),
afgvp4zp12wlys4uaqgzafgvp42nrlpu,Masculino,,Rio de Janeiro (RJ),Outra Opção
afm114w0dysoaaf6ks6cafm114kdfpjf,Masculino,,Rio Grande do Sul (RS),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
afskx2kwdy6asx135pafskxly65w8s8u,Masculino,,Piauí (PI),
ag283xsig1j5lmc2ag283boqh3yrxx1m,Masculino,,,
agcj8955pvijs1sfagcj89jadznupkc1,Feminino,0.0,São Paulo (SP),Outra Opção
ageiuvs1oofynbh6jq4ageiuvk31d25p,Masculino,,Distrito Federal (DF),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
agha1mhyvpzz18rk0bhkagha1m0xn8os,Masculino,,Paraná (PR),
agi2cc3st5k6lm4agi2coz8v85nm7i44,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
agxp9d6a1yv02bb4qagcnqldgldarct0,Feminino,0.0,Minas Gerais (MG),
ah0p1samofew2lh0kvah0p1gt2cwolk9,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
ahb3f5d4hcr4nfzs0tmd3ahb3f5delsp,Masculino,,Espírito Santo (ES),Cientista de Dados/Data Scientist
ahe1pd5nkff9ltkv052pn5ahe1p0d3jx,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
ahgjt0wkmrdwl8r7eahgjtcvlaixl0qw,Masculino,,Rio Grande do Norte (RN),
ahl93q2a6nlvs8bycuqahl93q266zjb0,Masculino,,Amazonas (AM),Cientista de Dados/Data Scientist
ai0b0p1zukfzcmnn3d90dai0b0nharu4,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
ai4u0skvq1llgd9ybkoai4u0tvpevujf,Masculino,1.0,Distrito Federal (DF),Analista de Negócios/Business Analyst
ai5qwh0rq9203cd5boisai5qwh0nqpiw,Masculino,,Pernambuco (PE),Analista de Dados/Data Analyst
aid1docb2p9poaid1c87wymi5jxc43ug,Feminino,,Minas Gerais (MG),
aiplx9zdjm22gzzq3a974pycl1pa3pxj,Feminino,,Santa Catarina (SC),
aiwj5ogng8y54p7mffraiwj5kyleklxp,Masculino,0.0,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
aixeydkd63mxm9pitl5foaio9w5s7j9h,Masculino,,Rio Grande do Norte (RN),Analista de BI/BI Analyst
aj7z2ynm24nvtj7aj7yr0bvdg10e6j8a,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
aj8bp26oidt4nv63aqaj8bp2098m8ch3,Feminino,,Distrito Federal (DF),Analista de Dados/Data Analyst
ajncs2zp3r0c1t6rn6rajncs2zefd8tv,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
ajtq9qg299dcgv2120kqajtq9qjmwkhh,Masculino,,São Paulo (SP),
ajurgg5sxk4akjsleajurgpzrmh1gx2t,Masculino,,Espírito Santo (ES),Cientista de Dados/Data Scientist
ak1aedmx2mqzddys1teak1aedmc5liu9,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
ak1qecvbfnra15ghz9phuak1qec9tmdd,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
akjm839v2rygv4gakjm83xz9x78pyacd,Feminino,1.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
akljdu1m1oov9vtp0aklj38ofjucm6pg,Feminino,,Sergipe (SE),Analista de Dados/Data Analyst
akm4oaiocu2ges8akm4oanbiug5sbcnl,Masculino,,Ceará (CE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
akst22uqxfj6n03g7wakstuy8ywu6u3n,Feminino,,Rondônia (RO),Analista de BI/BI Analyst
al0xcocg3qdcc54tqal0xchkyrixh0lg,Feminino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
al9pfnlab5gal9p9tsyfe5i60drfo48x,Masculino,,Santa Catarina (SC),
albb2ekck7hrk61km11s87albb2ekcen,Masculino,,Bahia (BA),Cientista de Dados/Data Scientist
alf0v98udesn092yvaa5alf0v9wqacug,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
alfr2xa44nkfcnejjfalfr2r0tdjkt2u,Feminino,,Distrito Federal (DF),
almczfhcca1tov16almcs3ao2u6o1kzz,Feminino,0.0,São Paulo (SP),
am06hzd84rrudykiamx6q9iam06hk2xg,Feminino,1.0,,Cientista de Dados/Data Scientist
am3j01z3b1aubdz2am4kqodr6w33zn0p,Masculino,,Distrito Federal (DF),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
am45upa4xja2g2d1am45up7438jk70v4,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
amkc2pcggtl031db8pkamkc28cs6si8n,Masculino,,Minas Gerais (MG),
amw3pci1k062x9k43gamw300bpc1h18q,Masculino,,São Paulo (SP),
amx6w22h0tdz3e04kxs0xaxamx6w22ec,Masculino,,Bahia (BA),Analista de BI/BI Analyst
an2knt9j04lvmow3eodan2knhwamf3zl,Masculino,,São Paulo (SP),
an4t6yy95xnevz07wnr8an4t6yy94bmc,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
an6k3putrzb8dyyyzean61zh19rkc57t,Masculino,,São Paulo (SP),
an6znylagi811llanq9z8hln2mxygxgo,Masculino,,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
andq4m4xilhxio45qandq4cv3op36xbg,Feminino,,São Paulo (SP),
anrhl62jinikty80vvanrhpluzpu955f,Masculino,,,Outra Opção
ao5ye1qod499mccao5yelo4u2cetz92s,Masculino,,Mato Grosso (MT),Analista de BI/BI Analyst
aogb36ihj3z5g3chaogb36gl8focf5lj,Masculino,,Minas Gerais (MG),
aplkro411y7tqt52ap3e9waa5psj322u,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
apwn9ykxnsdab9ls1ym93bqapwn9y91z,Masculino,,São Paulo (SP),
aqbdsmo47bfoe8vvvovaqbdsmofdxq4h,Feminino,0.0,Rio de Janeiro (RJ),
aqhnlgf9s3p4aq8z42ffyxmr01id9b2y,Masculino,,São Paulo (SP),
aqop4acn0nz0p6r8c75aqop4ahela0qs,Masculino,,São Paulo (SP),Outra Opção
arljbno4c1dfxxrcarljbyj9l7qbvtuy,Masculino,1.0,Rio Grande do Norte (RN),Cientista de Dados/Data Scientist
arzurp0r38nf47ogy26truarzurphe16,Feminino,0.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
as5uiha487aqkodxngdwceas5uiheku0,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
as6w1tno47hv3z6387as6w1tovue61ku,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
asaay0s17l1l53evneasafrmm5i0dtwf,Feminino,1.0,Ceará (CE),
ashcy99oo61dby5685ashcy09s5ig7ln,Feminino,0.0,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
assf0itcr9r2as5xsaakqta7aotcdxgn,Feminino,,Minas Gerais (MG),
aszgcf0gxn72lfc8d85t4aszgctjjenv,Masculino,,Minas Gerais (MG),
aszhowzja0xy7cirjraszhow07k5for0,Masculino,,Santa Catarina (SC),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
at64z4ljof1lvio15mat64zj4iadnlih,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
atdc9nyh4gwt182fd14atdc9numsqink,Masculino,0.0,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
atedidqkicjl9gk9caatedi6tey6xrbk,Masculino,1.0,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
atljev5y0xzf4rrfr3gatlji98y5waws,Masculino,,Paraíba (PB),Cientista de Dados/Data Scientist
au0gxwvwaw0iacekkpjau0gxwz7ohoi4,Feminino,1.0,Minas Gerais (MG),Analista de Dados/Data Analyst
au2qnr5yau4x4arhau2qnrre2jxrydj8,Masculino,,Espírito Santo (ES),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
au8nxwzk07y1pl7xu8j3au8nxw4yrm5k,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
auddekt9qvgz4eat7vft1audd54iwz81,Feminino,1.0,São Paulo (SP),Analista de Dados/Data Analyst
audkimne0molrp1khyhxpaudkimnk4lh,Masculino,,,Analista de Dados/Data Analyst
auh10h1piftkq0jmaumrb158kmqm2x8x,Masculino,0.0,Bahia (BA),
auklqtkqlrptefzsb19auklj17aihdvl,Feminino,0.0,Santa Catarina (SC),Analista de Negócios/Business Analyst
autv5hh39us30juxoiczautv5qqdr8di,Masculino,1.0,,
auxzgwqp25a1sjm28hauxzssjt4yu74a,Masculino,,Distrito Federal (DF),Outra Opção
av00wx7un22gagy7mgav00gglqgk0tfa,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
avqi8rmsy10ow8nsnravqi8r1thwrroj,Masculino,1.0,Minas Gerais (MG),Analista de BI/BI Analyst
avu3b2u8sp3ricavu3b2eoxs5phqy8uk,Feminino,0.0,Rio Grande do Sul (RS),Analista de BI/BI Analyst
avvzhauy0mp0d938k5avvzhauhmg4v2x,Masculino,,Rio Grande do Sul (RS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
aw23iwfiw2xs49duaw23idahf8h8456h,Masculino,,Espírito Santo (ES),Outras Engenharias (não inclui dev)
awxbeeu0w9moiznmx4sawxbe2l716yxa,Masculino,0.0,Paraná (PR),
awzkz7b04d2789a9esfawzkz7b0y2hcm,Masculino,,Santa Catarina (SC),Cientista de Dados/Data Scientist
ax8mxrz6fegqvkax8mxvibu86dtm6th9,Masculino,,Bahia (BA),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
axh5jhqhsbi9edaxh0i4x7yt74z4caht,Feminino,0.0,Paraná (PR),Analista de BI/BI Analyst
axweibiqcvofzbolf3axwei83evdcn3s,Feminino,0.0,Minas Gerais (MG),
axwxv1s24gojg8tddtxaxwxvqlreshsq,Feminino,0.0,Paraná (PR),Cientista de Dados/Data Scientist
axyb5yrbtxvvyqurhvaxyqzlu5q8cumb,Feminino,,São Paulo (SP),Analytics Engineer
ayekkgq0mvlk36ugiayekkgvpjautx7a,Masculino,,Espírito Santo (ES),Cientista de Dados/Data Scientist
ayn3g5w4q3yq73rs9c0sayn3gtb5yxbz,Masculino,,São Paulo (SP),Analista de BI/BI Analyst
aynfiyyvtsx3x012ybaynfi9z5go3jou,Masculino,,Rio de Janeiro (RJ),Analista de BI/BI Analyst
aza4sp9cym1o59pkaza49h1mci6ps07m,Feminino,0.0,São Paulo (SP),
azn1mkmj6zfvlazn1mtgg5g2z15h24hh,Feminino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
azvu80rsxjqhm3xqegfvhazvu80bo7zl,Feminino,,Ceará (CE),
azy4b0n02mthazy4b38zmy39trqnd8n9,Masculino,,Mato Grosso (MT),Analista de Dados/Data Analyst
b075chlfhgl6twudecxpb075hgt9izt6,Feminino,1.0,São Paulo (SP),
b0h0tocfmfpany8vzsb0h0tojxn4g2cu,Masculino,,Santa Catarina (SC),Analista de BI/BI Analyst
b0m485fk21btdxygh3lw1b0m4t7m67ks,Masculino,1.0,Amazonas (AM),
b11nezxwsm1xgqjb11n6g25rodbw33mq,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
b1cddb9e0sp52t1qnfhb1cddbiusd6bs,Masculino,0.0,São Paulo (SP),Engenheiro de Machine Learning/ML Engineer/AI Engineer
b1sb974ifjlt8f979aga9b1sb9szzi48,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
b20vlm9781yvb20vx4dqars8al9egakc,Masculino,0.0,Distrito Federal (DF),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
b227ddk15nyiotmhfb22mnb3y3nd9wwo,Feminino,0.0,Paraná (PR),
b23b7s1vuhe26xhpmb23b7swmk076v4w,Masculino,,Santa Catarina (SC),Analista de Dados/Data Analyst
b249wl2yhnwpcb249vqv6ia4gl9317ak,Feminino,1.0,Paraná (PR),
b29e577enfz6ma2zey4b29e5c7c78rrm,Feminino,1.0,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
b2ewkyi0mku4uj640r5pqyb2ewkyi9z1,Masculino,0.0,Santa Catarina (SC),
b2gn72mn4one5sjccsfb2gbgftve4m9s,Masculino,,Ceará (CE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
b2hp9mvzf3ne3sab2hp91cil4tqor8nv,Masculino,1.0,Distrito Federal (DF),Outra Opção
b2johhgrlfzbz3byb2johhwhn77chb1m,Masculino,,Pará (PA),Engenheiro de Machine Learning/ML Engineer/AI Engineer
b2n87qxx7a1say6b2n811hz8r339zm2k,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
b2p39ggpsr5ctn1x4r0b2p39cyod4cii,Feminino,0.0,Bahia (BA),Analista de Dados/Data Analyst
b2t71uwmsf14rpau2e1b2t710l6khcd7,Masculino,,Paraná (PR),
b33qhmqc4764t946b33qvj83zc1ahexz,Masculino,,Minas Gerais (MG),Analista de BI/BI Analyst
b36b0ndrghrvijwzb36b0tuuk4q9tdwv,Feminino,1.0,São Paulo (SP),Outra Opção
b3d11g7sf8cvqod9eb3d6m1se0qi3cek,Masculino,,Sergipe (SE),Analista de Dados/Data Analyst
b3fqsyj3e66pnbkb3fqs4icxv9qa7oh6,Masculino,,Minas Gerais (MG),
b3xzqqnx6e7b3x9kqj6dx38adhs4npvi,Masculino,,São Paulo (SP),
b439hgn474j9pw2einb439hg2xeibuqk,Feminino,0.0,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
b45fq26309xd8d2sb45fqw0cept6xnae,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
b4kiu3ozu34mb4kiuy0mlt9l1utfm9mw,Feminino,,São Paulo (SP),
b4xprgzago69orspb4xpr1hwp8vnq0eg,Feminino,0.0,São Paulo (SP),
b5072qxqlazakpbxvynogyzk5ut9kggs,Masculino,,Tocantins (TO),
b5kcit8dkwiqbtdmcgeb5kci0hmsim99,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
b5mnrg30p13flbrjlhb5mn9koyzp0dv0,Prefiro não informar,,São Paulo (SP),Estatístico
b5vnz5rs5zvio2wb50k4veqcg2x9yuxf,Masculino,,Minas Gerais (MG),Outra Opção
b5y6g1e8n1t7bs5ljb5y6gyq9mxe198a,Masculino,,Alagoas (AL),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
b5ytqslpr77jcpmzb5yt1hm5aa0ijsun,Masculino,,Santa Catarina (SC),Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)
b6bfxa8x8u4n4jk8souxb6bfxak20jg5,Feminino,0.0,São Paulo (SP),
b6hi6eme3colqlu4hwwbb6hifx02ywyj,Masculino,,Rio de Janeiro (RJ),Outra Opção
b6mpeci333zicxpvb6mpbfrvfacmb9uq,Feminino,0.0,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
b6pdr3b2wsujvom3tbg73b6pdrz12s3u,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
b6tfhk3aw21yf49b6tp0adywtdxre0z3,Masculino,,Paraná (PR),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
b7gceo8r61b7o2j7978db7gceo8zfouu,Masculino,,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
b87l0lvmxywt1n8qcinb87l0l9zupdv7,Masculino,1.0,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
b8g4ckspbr9qo4cg9jb8g4myobvterda,Feminino,0.0,São Paulo (SP),Analista de BI/BI Analyst
b8l225iuaq0t6ze74b8l2ajw0qg53uid,Feminino,,Espírito Santo (ES),Analista de Dados/Data Analyst
b8nzsea8kscxo93zovcb8nzsea8dkpop,Feminino,0.0,Ceará (CE),Analista de Dados/Data Analyst
b9dor7x15b9av8x6s7268ltyjh7x4f9a,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
b9fj09w4hmdo3k81b9fj09vrooq3nu9w,Feminino,0.0,São Paulo (SP),
b9jypwxi59vv4quj1ftb9jypwz823rjg,Masculino,,Rio Grande do Sul (RS),Estatístico
b9phbossfqs97ugzl5n1b9phbg3lh5l7,Masculino,1.0,Paraná (PR),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
b9wdp3fr6ji6ku7xyuwtb9wdmpxbrxdh,Feminino,0.0,São Paulo (SP),Analista de Negócios/Business Analyst
b9wo3362wz8gwxnb9woqktffl26q5bbq,Masculino,,Distrito Federal (DF),Analista de Dados/Data Analyst
ba4eg42uvd7lan0oba4esecqtffm6x6o,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
ba50bi9tn03yq23c2aba50hts4snqecm,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
bab1m0lmv9qkye525vbab1m0lx9bvdip,Masculino,,São Paulo (SP),
bac6iiovvc2sv1zvenbac6iiodlvsw2e,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
bacrza9zvbohojp14hgvs2xabacrza9z,Masculino,,Rio de Janeiro (RJ),Analista de BI/BI Analyst
bamrw0nw2u12kdzbamfrhbimz1bib7aq,Masculino,,São Paulo (SP),
banhjvelk76qimqbanhj1hjfvwgzj5pp,Masculino,,Paraná (PR),
bayqzpuswxqnt4rbayqzds8x3f4vbkut,Masculino,,Maranhão (MA),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bcubfs25d44mjfo8e575bcubfs274d8o,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bd792a686jnmmd3bucyn39fbd792amft,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
bdfr7pnnnd645ytw2129cs4bdfr7prqo,Masculino,,Santa Catarina (SC),
bdfsg2btnbt7jhgi54nbnbdfsg2ojsfq,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
bf11g7poyebf7h1wty6369z1v5gwekx7,Masculino,,Santa Catarina (SC),
bf7tvubxelr3ufzpumibf7tvq6vcj8fp,Masculino,,Rio de Janeiro (RJ),
bf8j8nftg2x0oyewayab1hbf8j8n0ymj,Feminino,0.0,Paraná (PR),Analista de Suporte/Analista Técnico
bflhkwbf3p5fl7pmbflh795nfzqckwgq,Feminino,0.0,,Professor/Pesquisador
bfn337mxoqtfd8tmjpkuqyfbfn337my8,Masculino,,Rio Grande do Sul (RS),Analista de Inteligência de Mercado/Market Intelligence
bfp3hevoc9u1mzbfp3hdblx4nl08c2sd,Feminino,1.0,Ceará (CE),Analista de BI/BI Analyst
bfqj04ktkvcwfutah59zcynbfqj04krg,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
bfqlif5991ohzfj1ftvrjbfqlif59z22,Masculino,,,
bg6r1rg4bh1jz9zs2bg6d7k6qbyvcikz,Masculino,,Rio de Janeiro (RJ),Analista de Negócios/Business Analyst
bgd9yhnzi576za0tqmt1bgd9yxjf9ooq,Masculino,,Espírito Santo (ES),Analista de Dados/Data Analyst
bgwcowkvk1tnbr7xnbgwcow6u8p6ayy1,Masculino,,Rio de Janeiro (RJ),Cientista de Dados/Data Scientist
bh4bmy1quaydsnw1gbh4bmqv9atzpxd7,Masculino,,Bahia (BA),Engenheiro de Machine Learning/ML Engineer/AI Engineer
bhe8ymf895bhwihfo2xn0317o4r56wiu,Masculino,,Amazonas (AM),Outras Engenharias (não inclui dev)
bhh1h2suf8hrtjeebmbbhh1h2sq3ft7m,Masculino,,Distrito Federal (DF),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bhnvz6qczsevbhnph3b9ns01wxqytxcv,Masculino,,Distrito Federal (DF),Analista de Dados/Data Analyst
bis7m0u8kpp30650e9qbis7m0un4rayn,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
bj1sqfgb2tu1zlmn9rymbj1sqktzb3km,Masculino,,São Paulo (SP),Analista de Dados/Data Analyst
bj3afnjt4xaoeck66bj3b3hb6t7nu3qy,Masculino,,Minas Gerais (MG),
bja47pja2nuxvbja1p6usxo9muab2qct,Masculino,,Santa Catarina (SC),Outras Engenharias (não inclui dev)
bjn727809d6yplnhzrr4bjn7278dl7ms,Feminino,,Minas Gerais (MG),Analista de Dados/Data Analyst
bjv8xbzy8m8h41r6s04bjv8xsttsfvw8,Feminino,,São Paulo (SP),Cientista de Dados/Data Scientist
bl1cnr4hpegqqnod8a7bl1c9ezjqaqlv,Feminino,0.0,Paraná (PR),
bl71hi1148pkrabibl71d3ain2ybn63m,Feminino,,São Paulo (SP),Analista de Suporte/Analista Técnico
blb8oajnnvl5ldhyy49dblb8oaqmps71,Feminino,1.0,Sergipe (SE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bmgrj437q9gmkagyzfnmbmgrjl1hr42z,Masculino,,São Paulo (SP),
bmiaeu9eiyx6na35n1bmiabwcwu6qbo3,Feminino,,Santa Catarina (SC),Cientista de Dados/Data Scientist
bmpbd53ckdyyr7mzusoxrbmpbd53nczo,Feminino,1.0,Rio de Janeiro (RJ),
bmvkht4iybmv1rtt0egmtruyqatjfhe1,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bni11iux9om5aptqsxpcbni1pyb1lor0,Masculino,1.0,Goiás (GO),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bo7dytu98y953np4cjbo7dyvza8c6cme,Feminino,0.0,Pernambuco (PE),Analista de BI/BI Analyst
bofwqmop3rljwbohp9zofr4sroalwbrc,Masculino,,Ceará (CE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bol7o1bl3cuwiiydxrtboltroo8pvsa1,Masculino,,Rio Grande do Sul (RS),Cientista de Dados/Data Scientist
bopht5igwziku27pqt2f3bophwnm4zz3,Masculino,,Espírito Santo (ES),Analista de BI/BI Analyst
bossn2j8x5wmkboss4s46eas25gd5ec4,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
both2c0k7umf31both2canm38cfcsyys,Feminino,0.0,Paraná (PR),Cientista de Dados/Data Scientist
bp1wxmdhugr4udafbp9u47i8g71a43w0,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bp6ggayydveqjwad1a4nbp6ggaycor00,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
bpg9c1evysz23csqadbpg9c1va6qo02b,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bq9e9gn2wfu1wlenbq95leudvvnhzvrt,Masculino,,São Paulo (SP),
bqehuuxczppq8l3ai65dgvbqehuubd7g,Masculino,,Santa Catarina (SC),Analista de BI/BI Analyst
bqxpinyjno8ttgaxbj2pfbqxpiwwda7r,Masculino,,Alagoas (AL),
brgr1sazqlot7hbfcclbrgrpv242hcdy,Masculino,,Pernambuco (PE),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
brkomp0gyab7elobrkodl6dpn3wmxmn4,Feminino,0.0,Rio de Janeiro (RJ),Outra Opção
brngosan2qmgufgzg3brngoaimfajhk4,Masculino,,Rio Grande do Sul (RS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bs12bewatg6ddqubs12bpxl0ev0n09dl,Feminino,1.0,Paraná (PR),Analytics Engineer
bs7e4cdwobs4kpue4pa7cwdsvdu3f34k,Prefiro não informar,0.0,São Paulo (SP),Analista de Dados/Data Analyst
bscq665kyme4joxcosbscq68bw2fz2go,Masculino,,São Paulo (SP),
bsjwhvvvxda5qlwzhixbsjwk3cl9nanp,Masculino,,Goiás (GO),Analista de Negócios/Business Analyst
btk5l62911lyuv58btk5tr1uqcmq6b9s,Masculino,,Amapá (AP),
btkyj454enlgxdjn681qsbtkyj45bgx5,Masculino,,Santa Catarina (SC),Analista de BI/BI Analyst
btmsssvsnacveqqptczwbtmahdkzsz2o,Feminino,1.0,Amazonas (AM),
btnwf2vxzx4ad0rcpjzfhfbtnwf2vy49,Feminino,1.0,Rio Grande do Sul (RS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bttgr3eussj9ev735hli96sibttgr36f,Masculino,,Goiás (GO),
bttmoppdth9kwuw7r1g5bttmo6zhpd37,Masculino,,São Paulo (SP),
bu5lvlc6gyqda2fjui4cbu5lv82lns9c,Feminino,1.0,São Paulo (SP),
buji1lc6igvlp1r96hfkbuo22xunlzxb,Masculino,,Paraná (PR),
bv9ptb4y03ce52bv9ptdu6sibaelqu14,Masculino,,São Paulo (SP),
bvexktqeh4pm3mi4tmv560cbvexkt5n9,Masculino,,Minas Gerais (MG),
bw1oxod2a642phi4oojbw1oxed3q5889,Masculino,,Minas Gerais (MG),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
bw9slubrrxbw9s75jnpbqnjq85dbxvof,Masculino,,São Paulo (SP),
